leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,9,9,32,,,,,,,,,,,1,2.60244575003,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,10,10,16,,,,,,,,,,,2,1.95126694534,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,11,11,2,,,,,,,,,,,1,0.967779598199,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,12,12,35,,,,,,,,,,,1,0.484293494839,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,13,13,33,,,,,,,,,,,1,1.40148297558,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,14,14,49,,,,,,,,,,,2,1.5676719253,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,15,15,0,,,,,,,,,,,2,1.23409693409,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,16,16,10,,,,,,,,,,,1,1.15119684301,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,17,17,25,,,,,,,,,,,2,2.60137866158,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,18,18,37,,,,,,,,,,,1,0.901130908169,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,19,19,15,,,,,,,,,,,2,1.25137343677,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,20,20,4,,,,,,,,,,,2,1.1843104763,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,21,21,26,,,,,,,,,,,2,0.934588211589,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,22,22,31,,,,,,,,,,,2,1.18425138388,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,23,23,22,,,,,,,,,,,1,1.08406390483,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,24,24,43,,,,,,,,,,,2,1.10085024917,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,25,25,28,,,,,,,,,,,2,1.10099207144,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
