choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Going to a music
festival with friends",social,1,0,87,87,30,,,,,,,,,,,,,,,,,,,,,,,,,353.64800983303803,None,$.04,1.895,0.029739528371010238,None,None,353.64800983303803,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Driving to school
by yourself",nonsocial,0,0,88,88,88,,,,,,,,,,,,,,,,,,,,,,,,,355.59863906225337,None,$.05,3.214,0.029165084380110784,None,None,355.59863906225337,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Listening to music
by yourself",nonsocial,0,0,89,89,109,,,,,,,,,,,,,,,,,,,,,,,,,358.86621146567813,None,$.05,1.723,0.034029974966415466,None,None,358.86621146567813,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting likes on an
Instagram picture",social Media,2,0,90,90,17,,,,,,,,,,,,,,,,,,,,,,,,,360.65005039991775,None,$0,1.574,0.029881040020427463,None,None,360.65005039991775,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Listening to music
by yourself",nonsocial,0,0,91,91,82,,,,,,,,,,,,,,,,,,,,,,,,,362.283928661956,None,$.05,2.64,0.03419170256574944,None,None,362.283928661956,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting likes on a 
Facebook status",social Media,2,0,92,92,45,,,,,,,,,,,,,,,,,,,,,,,,,364.98464987374336,None,$0,2.14,0.03298683195225749,None,None,364.98464987374336,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Planting flowers 
in a garden",nonsocial,0,0,93,93,67,,,,,,,,,,,,,,,,,,,,,,,,,367.1687406676174,None,$.02,2.502,0.02347942622782284,None,None,367.1687406676174,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Taking your friend 
to the spa",social,1,0,94,94,1,,,,,,,,,,,,,,,,,,,,,,,,,369.73626085168826,None,$.05,2.18,0.02737581730752936,None,None,369.73626085168826,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going dancing with
a significant other",social,1,0,95,95,21,,,,,,,,,,,,,,,,,,,,,,,,,371.9700371631361,None,$.05,2.407,0.03604099545827921,None,None,371.9700371631361,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Learning how to 
perform card tricks",nonsocial,0,0,96,96,103,,,,,,,,,,,,,,,,,,,,,,,,,374.437421527125,None,$.04,2.466,0.03618655029731599,None,None,374.437421527125,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going to a comedy show 
with a significant other",social,1,0,97,97,56,,,,,,,,,,,,,,,,,,,,,,,,,376.97149737674727,None,$.05,2.037,0.030593263485570787,None,None,376.97149737674727,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Putting together 
a puzzle",nonsocial,0,0,98,98,60,,,,,,,,,,,,,,,,,,,,,,,,,379.0555997714664,None,$.05,2.371,0.021652837402143632,None,None,379.0555997714664,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Reading at the library,nonsocial,0,0,99,99,78,,,,,,,,,,,,,,,,,,,,,,,,,381.4739470833515,None,$.05,1.547,0.027595393624778808,None,None,381.4739470833515,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Make a post on Twitter,social Media,2,0,100,100,53,,,,,,,,,,,,,,,,,,,,,,,,,383.07328934964653,None,$0,1.884,0.022346088975609746,None,None,383.07328934964653,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Going to the zoo with friends,social,1,0,101,101,52,,,,,,,,,,,,,,,,,,,,,,,,,385.0238031924405,None,$.05,3.027,0.03158073488384616,None,None,385.0238031924405,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going on vacation 
by yourself",nonsocial,0,0,102,102,94,,,,,,,,,,,,,,,,,,,,,,,,,388.10819016553114,None,$.05,1.393,0.031013755243293417,None,None,388.10819016553114,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Drawing a picture,nonsocial,0,0,103,103,70,,,,,,,,,,,,,,,,,,,,,,,,,389.54203440257015,None,$.02,1.67,0.024234569709733478,None,None,389.54203440257015,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Becoming "InstaFamous",social Media,2,0,104,104,36,,,,,,,,,,,,,,,,,,,,,,,,,391.25914204130686,None,$0,1.737,0.023775201125772583,None,None,391.25914204130686,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Taking an online
class",nonsocial,0,0,105,105,86,,,,,,,,,,,,,,,,,,,,,,,,,393.05942183005345,None,$.05,2.758,0.034756194089368364,None,None,393.05942183005345,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Cleaning up around 
the house",nonsocial,0,0,106,106,79,,,,,,,,,,,,,,,,,,,,,,,,,395.87714425137665,None,$.03,1.774,0.03159908474617623,None,None,395.87714425137665,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Taking an art class 
with friends",social,1,0,107,107,38,,,,,,,,,,,,,,,,,,,,,,,,,397.7110129963676,None,$.02,3.076,0.03095435145223746,None,None,397.7110129963676,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting retweeted by 
a celebrity",social Media,2,0,108,108,29,,,,,,,,,,,,,,,,,,,,,,,,,400.8285827406171,None,$0,2.516,0.024140643296505004,None,None,400.8285827406171,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Putting gas in a car,nonsocial,0,0,109,109,90,,,,,,,,,,,,,,,,,,,,,,,,,403.3959943805876,None,$.03,2.705,0.021088656892516155,None,None,403.3959943805876,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
